ssn,age,education,marital-status,relationship,sex,income
723-72-3723,42.0,,Married-civ-spouse,Husband,Male,
940-94-0940,53.0,,Divorced,Not-in-family,Male,
545-54-5545,44.0,,,,Male,<=50K
013-01-3013,40.0,,,Husband,Male,<=50K
039-03-9039,37.0,,Divorced,Not-in-family,Male,
157-15-7157,44.0,,Married-civ-spouse,Husband,,
083-08-3083,38.0,Some-college,Married-civ-spouse,Husband,,
768-76-8768,73.0,HS-grad,Widowed,,,>50K
222-22-2222,,Some-college,Never-married,Own-child,,<=50K
725-72-5725,33.0,,,,Female,
111-11-1111,56.0,,Married-civ-spouse,Husband,,>50K
460-46-0460,42.0,Bachelors,Never-married,Not-in-family,,
996-99-6996,41.0,,,Husband,,
660-66-0660,,Bachelors,Married-civ-spouse,Husband,,<=50K
585-58-5585,22.0,,Married-civ-spouse,,,
733-73-3733,23.0,5th-6th,,Not-in-family,Male,
283-28-3283,19.0,HS-grad,Never-married,Own-child,Female,
427-42-7427,58.0,Some-college,Married-civ-spouse,Husband,Male,
478-47-8478,57.0,Masters,Married-civ-spouse,Husband,,>50K
869-86-9869,68.0,10th,Married-civ-spouse,Husband,Male,<=50K
286-28-6286,,,Never-married,Own-child,Male,<=50K
773-77-3773,56.0,,Married-civ-spouse,Husband,Male,<=50K
238-23-8238,39.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
657-65-7657,55.0,Prof-school,Married-civ-spouse,,Male,>50K
631-63-1631,23.0,,,Not-in-family,Female,<=50K
959-95-9959,46.0,Some-college,Married-civ-spouse,Wife,,>50K
548-54-8548,23.0,,Never-married,Not-in-family,Female,
710-71-0710,,Some-college,Never-married,Unmarried,Male,<=50K
626-62-6626,41.0,Bachelors,Married-civ-spouse,Husband,,
535-53-5535,36.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
615-61-5615,30.0,HS-grad,,,Male,
814-81-4814,56.0,,Married-civ-spouse,,,
892-89-2892,39.0,,Never-married,Not-in-family,Female,<=50K
577-57-7577,42.0,,,Other-relative,,
482-48-2482,19.0,Some-college,Married-civ-spouse,Wife,,
693-69-3693,46.0,HS-grad,Divorced,Not-in-family,,
447-44-7447,44.0,Assoc-acdm,,Husband,,<=50K
291-29-1291,45.0,,Divorced,,Female,<=50K
325-32-5325,,Some-college,,Husband,Male,
091-09-1091,48.0,,Married-civ-spouse,Husband,,>50K
547-54-7547,32.0,HS-grad,,,,<=50K
896-89-6896,38.0,,Married-civ-spouse,Husband,Male,<=50K
888-88-8888,48.0,HS-grad,Married-civ-spouse,Wife,Female,
070-07-0070,20.0,,Never-married,Own-child,,<=50K
058-05-8058,49.0,,Married-civ-spouse,Husband,Male,
278-27-8278,46.0,HS-grad,Married-civ-spouse,,Male,
506-50-6506,26.0,,,Husband,Male,<=50K
367-36-7367,24.0,Some-college,Divorced,Unmarried,,<=50K
247-24-7247,29.0,,,Not-in-family,Male,>50K
562-56-2562,33.0,Bachelors,,Husband,,<=50K
680-68-0680,42.0,HS-grad,Married-civ-spouse,Husband,Male,
842-84-2842,36.0,,,Wife,,>50K
031-03-1031,,Bachelors,Divorced,Not-in-family,Female,
705-70-5705,23.0,Assoc-acdm,,Own-child,Female,
927-92-7927,25.0,Masters,Married-civ-spouse,Husband,Male,<=50K
948-94-8948,28.0,Bachelors,Never-married,,,
537-53-7537,45.0,HS-grad,Separated,Unmarried,Male,<=50K
713-71-3713,30.0,,,Not-in-family,Female,>50K
696-69-6696,36.0,Some-college,,,,
440-44-0440,29.0,Assoc-voc,Married-civ-spouse,Husband,Male,
712-71-2712,26.0,Bachelors,Never-married,Not-in-family,Male,<=50K
599-59-9599,24.0,Some-college,Never-married,Unmarried,Female,
473-47-3473,43.0,,,Husband,,<=50K
516-51-6516,23.0,,Never-married,Own-child,Female,<=50K
385-38-5385,27.0,Some-college,Married-civ-spouse,Husband,,<=50K
274-27-4274,34.0,,Divorced,Unmarried,Female,<=50K
846-84-6846,60.0,Bachelors,,Unmarried,Female,<=50K
881-88-1881,23.0,,Never-married,,,
584-58-4584,64.0,,,Not-in-family,,
952-95-2952,23.0,Bachelors,Married-civ-spouse,Husband,,
033-03-3033,,Bachelors,Never-married,Own-child,Female,<=50K
014-01-4014,37.0,Masters,Never-married,Unmarried,,<=50K
650-65-0650,,Bachelors,,Not-in-family,Female,>50K
322-32-2322,44.0,,Married-civ-spouse,Husband,Male,>50K
204-20-4204,52.0,HS-grad,Married-civ-spouse,Husband,,>50K
126-12-6126,18.0,,Never-married,Own-child,,<=50K
849-84-9849,30.0,HS-grad,,Husband,Male,>50K
235-23-5235,22.0,HS-grad,Never-married,Not-in-family,,
067-06-7067,29.0,,Married-civ-spouse,Husband,Male,
345-34-5345,21.0,HS-grad,,Not-in-family,,
666-66-6666,34.0,,Divorced,Unmarried,Female,>50K
346-34-6346,38.0,Bachelors,Married-civ-spouse,Husband,,
077-07-7077,19.0,,Never-married,,Female,
279-27-9279,47.0,Masters,Married-civ-spouse,Husband,,
166-16-6166,42.0,Assoc-acdm,Divorced,,Female,<=50K
966-96-6966,31.0,,Never-married,,Female,<=50K
687-68-7687,42.0,Masters,Married-civ-spouse,,,<=50K
889-88-9889,24.0,Some-college,Never-married,Not-in-family,Male,<=50K
483-48-3483,46.0,,Married-civ-spouse,Husband,,>50K
503-50-3503,,,Never-married,,,
417-41-7417,35.0,HS-grad,,Husband,,<=50K
690-69-0690,48.0,Bachelors,Never-married,Unmarried,,
151-15-1151,22.0,Some-college,Never-married,Own-child,,
943-94-3943,52.0,HS-grad,Married-civ-spouse,Husband,,
315-31-5315,29.0,HS-grad,Separated,Unmarried,Female,<=50K
608-60-8608,27.0,,Never-married,Unmarried,,<=50K
415-41-5415,46.0,HS-grad,Divorced,Not-in-family,,
597-59-7597,20.0,HS-grad,,Own-child,,
480-48-0480,59.0,HS-grad,Married-civ-spouse,Husband,Male,
154-15-4154,20.0,Some-college,Never-married,Own-child,Male,<=50K
534-53-4534,48.0,,Divorced,Unmarried,Female,
